Area,Year,Room,Total Price,PPA,Floor,Location,Garage,WareHouse,Elevator
160,1376,3,5700000000,35625000,3,bG mlkhabd ,True,True,True

130,1390,3,1400000000,10769000,0,bhnr ,True,True,False

1100,1401,3,54000000000,49090000,6,bhnr ,True,True,True

170,1400,3,7550000000,44411000,3,bhnr ,True,True,True

160,1393,3,6300000000,39375000,2,bhnr ,True,True,True

190,1401,3,10260000000,54000000,4,bhnr ,True,True,True

170,1401,3,9300000000,54705000,3,bhnr ,True,True,True

240,1401,3,13000000000,54166000,4,bhnr ,True,True,True

167,1401,3,6600000000,39520000,3,bhnr ,True,True,True

180,1401,3,9800000000,54444000,2,bhnr ,True,True,True

175,1401,3,8600000000,49142000,3,bhnr ,True,True,True

170,1401,3,7600000000,44705000,1,bhnr ,True,True,True

175,1401,3,10500000000,60000000,5,bhnr ,True,True,True

170,1401,3,11400000000,67058000,6,bhnr ,True,True,True

170,1401,3,9500000000,55882000,4,bhnr ,True,True,True

180,1401,3,9900000000,55000000,3,bhnr ,True,True,True

185,1401,3,8500000000,45945000,0,bhnr ,True,True,True

190,1401,3,8900000000,46842000,0,bhnr ,True,True,True

170,1401,3,10000000000,58823000,4,bhnr ,True,True,True

150,1390,3,5400000000,36000000,1,bhnr ,True,True,True

240,1401,3,14100000000,58750000,4,bhnr ,True,True,True

250,1401,3,13750000000,55000000,4,bhnr ,True,True,True

170,1401,3,9000000000,52941000,2,bhnr ,True,True,True

102,1401,2,1300000000,12745000,4,bll ,True,True,True

70,1395,1,750000000,10714000,16,bll ,False,True,False

114,1390,1,1500000000,13157000,4,bll ,True,True,False

110,1385,2,850000000,7727000,1,mydn mm Hsyn (blwr ayt llh `bdy) ,False,False,False

105,1401,2,1360000000,12952000,3,nqlb ,True,True,True

23,1395,bdwn tq,520000000,22608000,0,blwr shhyd Slny ,True,True,False

180,1401,3,2250000000,12500000,5,nqlb ,True,True,True

170,1394,2,2300000000,13529000,5,blwr shhyd mftH (sy mtry Tlb) (blwr Tbrsy jnwby) ,True,True,True

165,1399,3,3000000000,18181000,6,ythr ,True,True,True

62,1396,1,750000000,12096000,0,ythr ,False,False,False

200,1398,3,5000000000,25000000,0,mydn bwryHn (khybn shhyd `lymrdny) ,True,True,True

80,1390,1,900000000,11250000,2,blwr mt (blwr shhyd mftH) ,False,False,False

126,1395,2,1720000000,13650000,3,ythr ,False,False,True

60,1399,1,760000000,12666000,2,ythr ,False,True,False

160,1399,3,2500000000,15625000,3,ythr ,True,False,True

300,1401,4,3900000000,13000000,4,ythr ,True,True,True

65,1396,1,830000000,12769000,0,blwr mjlsy shrqy (blwr Tbrsy jnwby) ,False,False,False

120,1399,2,1500000000,12500000,0,ythr ,False,True,False

135,1400,3,2200000000,16296000,5,ythr ,True,True,True

110,1396,3,1700000000,15454000,4,ythr ,False,True,True

160,1401,3,3360000000,21000000,2,ythr ,True,True,True

